-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/1981 through 12/31/2021 ,,,,,,,,,,,,,,
Location: Latitude  12.8769   Longitude 74.9912 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 162.98 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SRF_ALB        CERES SYN1deg All Sky Surface Albedo (dimensionless) ,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,25.38,27.18,29.18,29.46,28.12,25.71,25.47,25.24,25.18,25.41,25.16,25.01,26.37
T2M,1982,25.52,27.42,28.4,29.09,28.23,26.08,25.55,25.07,25.14,25.89,26,25.56,26.49
T2M,1983,25.75,26.53,27.94,28.99,28.65,26.9,25.68,25.07,24.85,25.32,25.08,25.61,26.36
T2M,1984,26.26,28.12,28.47,28.52,29.04,25.83,24.79,24.75,24.93,25.08,25.98,25.88,26.47
T2M,1985,26.62,27.58,28.84,29.23,28.37,25.46,24.5,24.62,25.08,25.19,25.15,25.43,26.33
T2M,1986,26.14,26.62,28.69,29.3,28.66,25.94,25.37,24.66,25.04,25.9,25.3,25.96,26.46
T2M,1987,26.14,26.98,28.3,29.41,28.54,26.33,25.97,25.38,25.69,26.09,25.66,25.46,26.65
T2M,1988,25.4,27.95,29.01,29.37,28.87,26.3,25.37,25.12,25.11,25.73,25.9,25.87,26.66
T2M,1989,26.7,27.62,28.81,29.05,28.23,26.01,24.9,25.06,25.01,25.86,25.67,25.32,26.51
T2M,1990,25.99,27.28,28.12,29.04,27.78,26.23,25.14,24.87,25.18,25.87,25.91,25.56,26.4
T2M,1991,26.35,27.8,29.05,29.44,29.24,26.51,25.43,25.05,25.46,26.07,25.76,25.05,26.76
T2M,1992,25.3,26.66,28.54,29.28,28.26,26.55,25.08,25.04,25.15,25.58,25.68,23.94,26.25
T2M,1993,24.97,26.64,28.04,28.94,28.53,26.37,25.28,24.88,25.24,25.55,25.58,25.01,26.25
T2M,1994,25.84,27,28.82,28.45,28.61,25.78,25.16,25.01,24.9,25.5,25.61,24.52,26.26
T2M,1995,25.43,27.46,28.94,29.32,27.55,26.29,25.42,25.55,25.52,26.08,25.33,24.74,26.46
T2M,1996,26.03,27.26,29.01,29.3,28.99,26.51,25.51,24.58,24.87,25.31,25.55,24.97,26.48
T2M,1997,25.52,26.47,29.01,29.12,29.09,26.97,25.71,25.44,25.62,26.46,26.43,26.33,26.85
T2M,1998,26.73,27.36,28.91,30.62,29.51,27.07,25.46,25.48,25.44,25.29,25.21,25.05,26.83
T2M,1999,25.2,28.01,29.29,28.43,26.51,26.18,25.37,25.13,25.36,25.55,25.4,24.96,26.27
T2M,2000,26.16,26.46,28.43,28.65,27.83,25.62,25.27,25.21,25.63,25.46,25.85,24.91,26.29
T2M,2001,26.55,27.56,28.44,28.01,27.76,25.87,25.04,24.85,25.28,25.8,26.12,25.15,26.36
T2M,2002,25.91,27.79,29.37,29.53,28.12,26.28,25.73,24.83,25.42,26.07,26.15,24.73,26.65
T2M,2003,26.12,28.18,29.47,29.82,29.49,26.97,25.63,25.46,25.63,26.01,26.02,25.13,26.98
T2M,2004,25.98,27.68,29.49,29.44,27.05,26.05,25.56,25.31,25.36,26.07,25.91,25.07,26.58
T2M,2005,26.53,27.85,28.92,28.73,28.98,26.71,25.78,25.44,25.33,25.76,25.23,24.97,26.68
T2M,2006,25.97,27.2,28.48,29.25,28.22,26.15,25.69,25.53,25.56,25.99,25.98,24.46,26.53
T2M,2007,25.12,26.58,28.8,29.36,28.16,26.51,25.8,25.23,25.48,25.69,25.01,25.46,26.43
T2M,2008,25.44,26.94,27.37,28.05,27.83,26.5,25.76,25.3,25.62,26.51,25.91,25.37,26.38
T2M,2009,25.94,27.84,29.01,29.38,28.26,26.37,25.65,25.69,25.76,25.9,26.14,25.56,26.78
T2M,2010,25.54,27.55,29.47,29.08,28.73,27.1,25.58,25.35,25.58,26.08,25.65,24.8,26.7
T2M,2011,24.73,25.98,28.86,28.3,28.34,26.62,25.37,25.31,25.53,26.12,25.75,25.12,26.33
T2M,2012,25.51,27.6,28.51,28.58,28.37,26.51,25.83,25.48,25.55,26.24,25.58,25.82,26.63
T2M,2013,26.16,27.62,29.12,29.31,28.65,26.1,25.19,25.26,25.19,25.89,26.2,25.04,26.63
T2M,2014,26.3,27.33,29.2,29.35,28.55,27.26,25.93,25.36,25.77,26.31,25.81,25.58,26.89
T2M,2015,25.51,27.37,28.59,28.46,28.07,26.63,26.14,25.88,26.14,26.59,26.37,26.4,26.84
T2M,2016,26.26,28.32,29.62,30.31,29.6,26.58,25.51,25.57,25.19,25.62,25.66,25.76,26.99
T2M,2017,26.6,28.05,28.83,29.44,28.82,26.76,26.1,25.69,25.91,26.21,26.13,25.55,27
T2M,2018,26.15,27.73,29.19,29.64,28.1,26.35,25.73,25.03,25.53,26.4,26.57,26.69,26.92
T2M,2019,26.25,28.19,29,30.21,29.49,27.81,26.29,25.8,25.96,25.95,26.72,26.5,27.33
T2M,2020,26.55,27.89,29.23,30.22,28.9,26.73,25.73,25.84,25.57,25.7,26.39,26.15,27.07
T2M,2021,26.34,26.82,29.35,29.11,27.77,26.63,25.81,25.66,25.87,26.33,25.94,25.54,26.76
QV2M,1981,13.43,12.63,14.16,16.36,17.7,18.43,18.74,18.31,17.94,17.09,15.69,14.16,16.24
QV2M,1982,13.61,13.92,13.98,15.75,17.58,18.13,18.43,18.01,17.15,17.15,16.91,13.49,16.17
QV2M,1983,12.08,12.51,13.49,15.14,17.7,18.31,18.25,18.31,17.64,17.15,15.08,15.26,15.93
QV2M,1984,14.53,14.53,15.2,17.33,17.52,18.62,17.88,17.52,17.52,16.97,15.93,13.67,16.42
QV2M,1985,14.22,13.92,15.62,16.48,17.52,17.94,17.52,17.7,17.15,16.66,15.44,14.47,16.24
QV2M,1986,13.79,13.92,15.38,16.6,17.46,18.31,18.19,17.46,17.46,17.52,16.24,14.95,16.48
QV2M,1987,12.45,12.08,13.73,15.93,17.21,18.92,18.31,18.37,18.25,18.25,16.48,15.38,16.3
QV2M,1988,12.94,14.1,14.4,17.03,17.76,19.04,18.62,18.43,18.01,17.21,14.77,12.7,16.24
QV2M,1989,11.96,11.29,14.77,16.66,17.94,18.49,17.82,18.07,17.58,17.88,15.38,14.34,16.05
QV2M,1990,11.66,12.7,14.53,15.69,18.13,18.92,18.13,18.07,17.58,17.94,16.6,14.16,16.17
QV2M,1991,12.82,12.45,15.01,16.72,18.19,19.23,18.37,18.07,17.82,17.76,15.62,13.12,16.3
QV2M,1992,10.62,13.37,14.65,15.99,17.94,18.98,18.25,18.07,17.88,17.58,16.54,12.76,16.05
QV2M,1993,11.96,12.08,14.71,16.3,17.88,18.92,18.37,18.01,17.76,18.07,16.42,14.16,16.24
QV2M,1994,13.61,14.04,15.26,17.46,17.64,18.8,18.25,18.01,17.15,18.19,15.93,13,16.48
QV2M,1995,13,13.67,14.34,16.78,18.43,18.8,18.62,18.68,18.13,17.94,15.69,12.08,16.36
QV2M,1996,12.15,12.39,14.71,16.3,17.09,18.86,18.49,17.82,17.76,17.58,15.93,13.61,16.05
QV2M,1997,12.88,12.27,14.95,15.26,16.91,18.37,18.98,18.43,17.88,18.13,18.01,16.72,16.6
QV2M,1998,14.34,13.79,15.01,17.46,19.1,19.23,18.8,18.86,18.43,17.88,16.36,14.22,16.97
